OBJECTID,BASKET_TYPE,SOURCE_PDF,PAGE_X,PAGE_Y,SECTION,YEAR,POINT_X,POINT_Y
59,R,MN091_2017-03-14,646.2349475540686,428.18131366814487,MN091,2017-03-14,994176.3617,233754.7799
60,S,MN091_2017-03-14,774.7615737550077,63.55696324177552,MN091,2017-03-14,994988.4681,231455.4887
61,S,MN091_2017-03-14,770.9124329770566,306.6326174319838,MN091,2017-03-14,994961.6121,232981.6511
62,S,MN091_2017-03-14,660.3221160825924,547.7338525984233,MN091,2017-03-14,994263.6313,234504.0973
63,S,MN091_2017-03-14,678.906589477323,578.4449329203344,MN091,2017-03-14,994380.1487,234695.3669
64,S,MN091_2017-03-14,740.6362794302404,596.4269746505015,MN091,2017-03-14,994768.0841,234803.2271
65,S,MN091_2017-03-14,818.7968880048138,232.83935278095305,MN091,2017-03-14,995263.4961,232514.5389
66,S,MN091_2017-03-14,834.5167714419658,462.07158845232334,MN091,2017-03-14,995359.8355,233952.2107
67,S,MN091_2017-03-14,854.1466745657381,458.57899065729,MN091,2017-03-14,995483.2981,233928.6907
68,S,MN091_2017-03-14,905.0285515876021,411.1431879911106,MN091,2017-03-14,995803.7417,233626.7867
69,H,MN091_2017-03-14,1097.4436373584904,593.261491126279,MN091,2017-03-14,997011.5845,234754.3451
70,H,MN091_2017-03-14,1098.0561764453305,583.373561045868,MN091,2017-03-14,997015.5439,234692.2257
71,S,MN091_2017-03-14,644.2258849742357,137.80321619205642,MN091,2017-03-14,994166.8993,231932.1659
72,S,MN091_2017-03-14,555.7953150540707,262.27691254444653,MN091,2017-03-14,993609.5235,232720.7089
73,S,MN091_2017-03-14,576.496780720423,300.8755468907184,MN091,2017-03-14,993739.2659,232961.3189
74,S,MN091_2017-03-14,669.8048117719009,124.72977817256469,MN091,2017-03-14,994327.8727,231848.0213
75,R,MN091_2017-03-14,800.5335083728423,174.7663817233406,MN091,2017-03-14,995149.2969,232151.4847
76,S,MN091_2017-03-14,749.0066313253483,308.5367971951491,MN091,2017-03-14,994823.8567,232995.3857
77,S,MN091_2017-03-14,775.0905190805788,356.8260178639903,MN091,2017-03-14,994987.3341,233296.3885
78,S,MN091_2017-03-14,666.6108663324849,463.3871353795985,MN091,2017-03-14,994304.0937,233974.1193
79,S,MN091_2017-03-14,704.2511998594273,588.3311637819279,MN091,2017-03-14,994539.3979,234755.3661
80,R,MN091_2017-03-14,823.1987436484778,258.6440413063392,MN091,2017-03-14,995290.8915,232676.1633
81,H,MN091_2017-03-14,851.6835104053607,315.07738339254865,MN091,2017-03-14,995469.3765,233028.0943
82,S,MN091_2017-03-14,826.1281968898838,407.70352965130587,MN091,2017-03-14,995307.6845,233611.6105
83,S,MN091_2017-03-14,845.3298382778885,444.0698592213739,MN091,2017-03-14,995428.0197,233838.3293
84,S,MN091_2017-03-14,858.0722801904776,505.26974446573877,MN091,2017-03-14,995507.4711,234221.4603
85,S,MN091_2017-03-14,870.1447611389449,526.7683488356415,MN091,2017-03-14,995583.1441,234355.4321
86,S,MN091_2017-03-14,877.878902071272,541.13120096887,MN091,2017-03-14,995631.6157,234444.9623
87,S,MN091_2017-03-14,915.8372238921002,567.5891365905263,MN091,2017-03-14,995869.9945,234607.9587
88,S,MN091_2017-03-14,952.9307019285625,676.5747317415371,MN091,2017-03-14,996102.0339,235289.0735
89,S,MN091_2017-03-14,1106.0947705147555,510.15277200352284,MN091,2017-03-14,997066.8871,234231.9475
90,H,MN091_2017-03-14,1138.5103577403352,569.538169871099,MN091,2017-03-14,997270.0553,234602.0883
91,S,MN091_2017-03-14,553.1958032320254,201.81431248562876,MN091,2017-03-14,993593.8397,232341.3807
92,R,MN091_2017-03-14,581.0370348070865,249.1179862403078,MN091,2017-03-14,993768.3777,232636.0555
93,R,MN091_2017-03-14,585.7407654627459,315.08186581460177,MN091,2017-03-14,993797.2335,233049.7447
94,S,MN091_2017-03-14,587.9895936771063,265.39562360587297,MN091,2017-03-14,993811.9153,232737.6687
95,S,MN091_2017-03-14,597.4802581167314,335.72467913487344,MN091,2017-03-14,993870.8207,233178.3703
96,S,MN091_2017-03-14,678.6239918098436,119.11491466820007,MN091,2017-03-14,994383.3857,231812.0575
97,R,MN091_2017-03-14,704.7440319102607,228.39448932308005,MN091,2017-03-14,994546.4253,232495.9095
98,R,MN091_2017-03-14,792.8884299440542,347.20738466928015,MN091,2017-03-14,995099.3459,233234.5631
99,S,MN091_2017-03-14,783.8571991164354,620.4564043162827,MN091,2017-03-14,995039.5787,234950.5517
100,S,MN091_2017-03-14,829.8262829743326,274.6145302221994,MN091,2017-03-14,995332.3889,232775.8747
101,H,MN091_2017-03-14,821.9708529746858,745.1013262614142,MN091,2017-03-14,995277.8617,235729.8805
102,H,MN091_2017-03-14,848.634174346691,732.866276947112,MN091,2017-03-14,995445.6441,235650.9099
103,S,MN091_2017-03-14,568.2480694551487,228.68347370956326,MN091,2017-03-14,993688.1887,232508.8217
104,S,MN091_2017-03-14,616.3077783961198,373.2846513304976,MN091,2017-03-14,993988.7917,233412.6135
105,S,MN091_2017-03-14,623.2515482032904,441.23231028049486,MN091,2017-03-14,994031.7085,233838.5733
106,S,MN091_2017-03-14,694.0223713279702,207.83013303717598,MN091,2017-03-14,994479.2367,232367.6933
107,S,MN091_2017-03-14,783.4247186305001,330.75935667194426,MN091,2017-03-14,995040.0207,233132.0827
108,S,MN091_2017-03-14,669.856960211473,410.66643992529134,MN091,2017-03-14,994325.0785,233642.9147
109,R,MN091_2017-03-14,706.9290515283355,476.532819495711,MN091,2017-03-14,994557.4551,234053.3609
110,S,MN091_2017-03-14,718.1247941607144,556.2530912181974,MN091,2017-03-14,994626.9797,234552.8749
111,S,MN091_2017-03-14,727.5919039119035,516.8431824256259,MN091,2017-03-14,994686.9349,234304.7197
112,S,MN091_2017-03-14,729.1005172531004,574.2254503307922,MN091,2017-03-14,994695.7941,234664.8001
113,S,MN091_2017-03-14,745.0296389798168,662.9192526832921,MN091,2017-03-14,994794.9827,235220.2585
114,S,MN091_2017-03-14,752.0199322263361,562.2480523939157,MN091,2017-03-14,994840.0341,234587.7511
115,S,MN091_2017-03-14,772.901046337327,598.929601703072,MN091,2017-03-14,994970.9255,234816.3131
116,S,MN091_2017-03-14,793.3720627757721,635.7909019959334,MN091,2017-03-14,995099.2365,235046.0359
117,S,MN091_2017-03-14,837.708607506298,31.37047758779954,MN091,2017-03-14,995384.6053,231248.3285
118,S,MN091_2017-03-14,886.7741367997369,517.2781238491589,MN091,2017-03-14,995687.8057,234294.5063
119,S,MN091_2017-03-14,913.7981027173228,425.652378020779,MN091,2017-03-14,995858.7221,233717.1519
120,S,MN091_2017-03-14,936.9317950428231,489.6438161104452,MN091,2017-03-14,996003.4797,234116.9613
121,S,MN091_2017-03-14,889.0911681418074,561.5202154509316,MN091,2017-03-14,995701.8923,234572.0379
122,S,MN091_2017-03-14,899.7616763783153,577.6021496837202,MN091,2017-03-14,995768.8083,234672.1209
123,S,MN091_2017-03-14,991.0476956306957,704.319195734628,MN091,2017-03-14,996341.3957,235460.1341
124,S,MN091_2017-03-14,609.6377000060747,301.1785937777604,MN091,2017-03-14,993947.6389,232960.5279
125,S,MN091_2017-03-14,789.9009688878432,56.024794973724056,MN091,2017-03-14,995083.7393,231406.9777
126,S,MN091_2017-03-14,663.9089326313697,156.13895910815336,MN091,2017-03-14,994290.4579,232045.6641
127,S,MN091_2017-03-14,714.328797916125,243.43491960823303,MN091,2017-03-14,994606.5267,232589.5429
128,R,MN091_2017-03-14,730.2822360500577,235.00169661687687,MN091,2017-03-14,994706.9275,232535.3087
129,S,MN091_2017-03-14,733.3320994524984,279.85954996186774,MN091,2017-03-14,994725.6137,232816.6457
130,S,MN091_2017-03-14,689.1561601971043,596.7206025918567,MN091,2017-03-14,994444.3949,234809.2557
131,S,MN091_2017-03-14,721.2313177216565,655.4338422295987,MN091,2017-03-14,994645.4293,235175.2057
132,S,MN091_2017-03-14,797.595617631101,757.9688951321004,MN091,2017-03-14,995124.4595,235812.6353
133,S,MN091_2017-03-14,895.219840260339,531.1693255730206,MN091,2017-03-14,995740.7579,234381.0187
134,S,MN091_2017-03-14,943.6438265595352,504.7334944444301,MN091,2017-03-14,996045.5177,234211.1371
135,S,MN091_2017-03-14,813.6992901460035,671.5944971686404,MN091,2017-03-14,995226.6551,235269.1317
136,S,MN091_2017-03-14,927.3751540380763,589.7400945019763,MN091,2017-03-14,995942.2993,234746.0679
137,S,MN091_2017-03-14,935.8209160924307,604.7921556469664,MN091,2017-03-14,995995.2377,234839.8677
138,S,MN091_2018-03-16,568.1806640625,228.69259643554688,MN091,2018-03-16,993687.7649,232508.8851
139,R,MN091_2018-03-16,600.8146979864841,285.88549088321895,MN091,2018-03-16,993892.3303,232865.2457
140,S,MN091_2018-03-16,672.706580749409,168.2001271492055,MN091,2018-03-16,994345.6439,232120.6587
141,S,MN091_2018-03-16,688.1509319456981,158.2982411628774,MN091,2018-03-16,994442.8587,232057.2469
142,R,MN091_2018-03-16,634.8429267462498,349.9759755023596,MN091,2018-03-16,994105.5879,233264.7921
143,S,MN091_2018-03-16,630.9278179320262,399.5496297126821,MN091,2018-03-16,994080.4297,233576.2967
144,S,MN091_2018-03-16,721.1641155394481,655.4435048347524,MN091,2018-03-16,994645.0067,235175.2713
145,S,MN091_2018-03-16,735.9362865599559,647.1632581001332,MN091,2018-03-16,994737.9787,235122.0937
146,R,MN091_2018-03-16,800.4608619269138,174.77544449650017,MN091,2018-03-16,995148.8403,232151.5473
147,S,MN091_2018-03-16,806.2567516478465,192.65418293533833,MN091,2018-03-16,995185.0881,232263.3057
148,R,MN091_2018-03-16,824.1060035284763,184.20958756290642,MN091,2018-03-16,995297.4091,232208.8457
149,S,MN091_2018-03-16,826.061072936909,407.71292927322895,MN091,2018-03-16,995307.2617,233611.6749
150,S,MN091_2018-03-16,920.0986400755809,445.0841374641469,MN091,2018-03-16,995898.1257,233838.6177
151,S,MN091_2018-03-16,889.0240856322215,561.5297627693227,MN091,2018-03-16,995701.4699,234572.1035
152,S,MN091_2018-03-16,927.308143249409,589.7497487312368,MN091,2018-03-16,995941.8777,234746.1349
153,S,MN091_2018-03-16,1101.8583751830026,542.8706059700063,MN091,2018-03-16,997039.8931,234437.6703
154,S,MN091_2018-03-16,513.6534343871043,207.8908009773305,MN091,2018-03-16,993345.1461,232382.7405
155,H,MN091_2018-03-16,552.2279365118748,199.61232804142205,MN091,2018-03-16,993587.7783,232327.6371
156,R,MN091_2018-03-16,564.8709571417576,279.2751088031408,MN091,2018-03-16,993666.4031,232826.6727
157,S,MN091_2018-03-16,576.4292675169871,300.88480427322895,MN091,2018-03-16,993738.8409,232961.3835
158,R,MN091_2018-03-16,585.6678016241794,315.09117935978145,MN091,2018-03-16,993796.7743,233049.8095
159,S,MN091_2018-03-16,623.1841045531199,441.24178364334614,MN091,2018-03-16,994031.2845,233838.6391
160,S,MN091_2018-03-16,774.6943126830027,63.566017652135194,MN091,2018-03-16,994988.0439,231455.5521
161,S,MN091_2018-03-16,663.8415294798777,156.14807941971333,MN091,2018-03-16,994290.0355,232045.7259
162,S,MN091_2018-03-16,678.5565715941356,119.12397053299458,MN091,2018-03-16,994382.9619,231812.1203
163,R,MN091_2018-03-16,684.8208320196873,192.58666275821892,MN091,2018-03-16,994421.5469,232272.7551
164,S,MN091_2018-03-16,693.9549633177684,207.83934834061176,MN091,2018-03-16,994478.8125,232367.7579
165,S,MN091_2018-03-16,748.9392925414012,308.5460744148305,MN091,2018-03-16,994823.4323,232995.4485
166,R,MN091_2018-03-16,687.9273536261326,501.9754414447424,MN091,2018-03-16,994437.7027,234214.6157
167,R,MN091_2018-03-16,706.8562018927341,476.54229782901973,MN091,2018-03-16,994556.9975,234053.4257
168,S,MN091_2018-03-16,783.3573986205027,330.7686238533071,MN091,2018-03-16,995039.5981,233132.1473
169,R,MN091_2018-03-16,792.8155677374607,347.21666764103145,MN091,2018-03-16,995098.8879,233234.6265
170,S,MN091_2018-03-16,829.7589794310496,274.6237263923696,MN091,2018-03-16,995331.9661,232775.9381
171,S,MN091_2018-03-16,846.819373718159,486.6008992439321,MN091,2018-03-16,995436.9217,234105.1863
172,S,MN091_2018-03-16,874.3708190917969,494.9759216308594,MN091,2018-03-16,995610.0627,234155.5181
173,S,MN091_2018-03-16,895.1526489257812,531.1787567138672,MN091,2018-03-16,995740.3353,234381.0839
174,S,MN091_2018-03-16,913.7308727415965,425.66168263016255,MN091,2018-03-16,995858.2993,233717.2149
175,S,MN091_2018-03-16,909.4440307617188,599.4308624267578,MN091,2018-03-16,995829.4489,234808.3575
176,S,MN091_2018-03-16,943.5766063841746,504.7428517585805,MN091,2018-03-16,996045.0951,234211.2017
177,S,MN091_2018-03-16,587.9219055175781,265.4047393798828,MN091,2018-03-16,993811.4889,232737.7309
178,S,MN091_2018-03-16,628.0259624632762,337.2885976081899,MN091,2018-03-16,994062.8625,233185.7043
179,S,MN091_2018-03-16,714.2612915039062,243.44393920898438,MN091,2018-03-16,994606.1013,232589.6051
180,R,MN091_2018-03-16,730.2092444952732,235.0107808002111,MN091,2018-03-16,994706.4683,232535.3723
181,S,MN091_2018-03-16,660.2545391234324,547.7432942634633,MN091,2018-03-16,994263.2065,234504.1619
182,S,MN091_2018-03-16,704.1836925658152,588.3406377082875,MN091,2018-03-16,994538.9729,234755.4303
183,S,MN091_2018-03-16,740.5688091429637,596.4364629036,MN091,2018-03-16,994767.6603,234803.2917
184,S,MN091_2018-03-16,863.9319763183594,477.1809997558594,MN091,2018-03-16,995544.6203,234044.6645
185,S,MN091_2018-03-16,870.0775219115184,526.7777409797719,MN091,2018-03-16,995582.7203,234355.4965
186,S,MN091_2018-03-16,793.3046947630809,635.8004536872915,MN091,2018-03-16,995098.8127,235046.1017
187,S,MN091_2018-03-16,805.3170543822215,657.2163548713735,MN091,2018-03-16,995174.1081,235179.5589
188,S,MN091_2018-03-16,935.753699890034,604.8016591316274,MN091,2018-03-16,995994.8149,234839.9323
189,S,MN091_2018-03-16,848.7600170287059,732.8758893257192,MN091,2018-03-16,995446.4349,235650.9603
190,S,MN091_2018-03-16,1098.1822582396433,583.3830342536977,MN091,2018-03-16,997016.3363,234692.2759
191,S,MN091_2018-03-16,554.1447601318359,188.3147735595703,MN091,2018-03-16,993599.9539,232256.5643
192,S,MN091_2018-03-16,652.7241436156199,133.48035481033833,MN091,2018-03-16,994220.3799,231904.3385
193,S,MN091_2018-03-16,733.2646404417918,279.86869099197895,MN091,2018-03-16,994725.1899,232816.7079
194,S,MN091_2018-03-16,636.4296795042918,411.721245313268,MN091,2018-03-16,994114.8899,233652.2539
195,S,MN091_2018-03-16,718.0573192747996,556.2625508552602,MN091,2018-03-16,994626.5547,234552.9407
196,S,MN091_2018-03-16,764.2086406859324,582.835617566686,MN091,2018-03-16,994916.4465,234715.9935
197,R,MN091_2018-03-16,811.7936255987888,216.2432484515783,MN091,2018-03-16,995219.6441,232410.9297
198,S,MN091_2018-03-16,818.729529968159,232.84835102615864,MN091,2018-03-16,995263.0735,232514.5999
199,R,MN091_2018-03-16,842.0264442023044,299.1813282855627,MN091,2018-03-16,995408.8307,232929.0947
200,R,MN091_2018-03-16,844.8799598273044,265.25934647403926,MN091,2018-03-16,995427.1421,232715.9257
201,R,MN091_2018-03-16,862.8382117804294,297.3064198382971,MN091,2018-03-16,995539.7077,232915.6343
202,S,MN091_2018-03-16,783.7898021849559,620.4658513313344,MN091,2018-03-16,995039.1549,234950.6161
203,S,MN091_2018-03-16,813.631873718159,671.6040158515981,MN091,2018-03-16,995226.2313,235269.1977
204,S,MN091_2018-03-16,1044.0831066283151,544.2284932380727,MN091,2018-03-16,996676.6091,234450.8909
205,H,MN091_2018-03-16,1097.3710327148438,593.2709426879883,MN091,2018-03-16,997011.1277,234754.4099
206,S,MN091_2018-03-16,609.5700296314071,301.1877062717402,MN091,2018-03-16,993947.2139,232960.5895
207,R,MN091_2018-03-16,620.6645665284578,322.64340997157393,MN091,2018-03-16,994016.7379,233094.3711
208,R,MN091_2018-03-16,624.4216618653719,388.6057360213786,MN091,2018-03-16,994039.6405,233508.1277
209,S,MN091_2018-03-16,775.0230783374618,356.8351977268183,MN091,2018-03-16,994986.9101,233296.4519
210,S,MN091_2018-03-16,678.8390115650009,578.4543841281856,MN091,2018-03-16,994379.7239,234695.4331
211,S,MN091_2018-03-16,751.9524759204696,562.257469455334,MN091,2018-03-16,994839.6091,234587.8157
212,S,MN091_2018-03-16,760.5214456470321,633.5330584445918,MN091,2018-03-16,994892.7095,235034.5339
213,S,MN091_2018-03-16,772.8336181640625,598.9390869140625,MN091,2018-03-16,994970.5013,234816.3777
214,S,MN091_2018-03-16,837.6412120970652,31.37928059158827,MN091,2018-03-16,995384.1815,231248.3891
215,S,MN091_2018-03-16,834.5065380247996,421.64565327225233,MN091,2018-03-16,995360.2113,233698.4469
216,S,MN091_2018-03-16,845.2624279173777,444.0791859870961,MN091,2018-03-16,995427.5959,233838.3939
217,S,MN091_2018-03-16,858.0048290404246,505.2791905647328,MN091,2018-03-16,995507.0469,234221.5261
218,S,MN091_2018-03-16,928.2107616576121,464.54978230057264,MN091,2018-03-16,995948.9193,233960.1489
219,S,MN091_2018-03-16,877.8114391478465,541.1406712776234,MN091,2018-03-16,995631.1919,234445.0267
220,S,MN091_2018-03-16,905.9647289427684,552.5543446785023,MN091,2018-03-16,995808.0837,234514.3841
221,S,MN091_2018-03-16,822.096473327534,745.1109853035023,MN091,2018-03-16,995278.6511,235729.9315
222,S,MN091_2018-03-16,1138.6363903197216,569.5476308113148,MN091,2018-03-16,997270.8473,234602.1385
223,R,MN091_2018-03-16,523.1046454962499,204.16030167423452,MN091,2018-03-16,993404.6121,232358.5537
224,R,MN091_2018-03-16,560.1664741095311,213.3105397113439,MN091,2018-03-16,993637.5425,232412.9785
225,S,MN091_2018-03-16,535.7039104613231,227.34063007889296,MN091,2018-03-16,993483.5781,232503.0389
226,R,MN091_2018-03-16,544.0737464483983,242.5165486224767,MN091,2018-03-16,993536.0387,232597.6207
227,S,MN091_2018-03-16,555.7274089964793,262.2860799079945,MN091,2018-03-16,993609.0971,232720.7719
228,S,MN091_2018-03-16,669.7370678099559,124.7388081794789,MN091,2018-03-16,994327.4465,231848.0833
229,S,MN091_2018-03-16,770.8447948607371,306.64182331619764,MN091,2018-03-16,994961.1873,232981.7147
230,R,MN091_2018-03-16,646.1616370733983,428.1906895526525,MN091,2018-03-16,994175.9011,233754.8449
231,R,MN091_2018-03-16,657.5285956915624,389.5616383441564,MN091,2018-03-16,994247.7939,233511.4369
232,S,MN091_2018-03-16,666.5430675658152,463.3964696174672,MN091,2018-03-16,994303.6671,233974.1837
233,S,MN091_2018-03-16,684.0135723265574,440.3320470100453,MN091,2018-03-16,994413.7659,233827.9821
234,S,MN091_2018-03-16,727.5241466673777,516.852623487096,MN091,2018-03-16,994686.5097,234304.7843
235,S,MN091_2018-03-16,689.0883861693309,596.7301182991077,MN091,2018-03-16,994443.9685,234809.3203
236,S,MN091_2018-03-16,693.1297069701121,570.5458073860218,MN091,2018-03-16,994469.6637,234644.6267
237,S,MN091_2018-03-16,729.0328441771434,574.2349705940296,MN091,2018-03-16,994695.3687,234664.8655
238,R,MN091_2018-03-16,823.1256568487889,258.6532215961095,MN091,2018-03-16,995290.4321,232676.2271
239,S,MN091_2018-03-16,884.5985180052684,375.08037617264296,MN091,2018-03-16,995675.6785,233402.0725
240,S,MN091_2018-03-16,899.6941906126902,577.6116872077992,MN091,2018-03-16,995768.3841,234672.1855
241,S,MN091_2018-03-16,919.3404918822215,613.6539273506214,MN091,2018-03-16,995891.5187,234896.8345
242,S,MN091_2018-03-16,990.9803234251902,704.3288312202503,MN091,2018-03-16,996340.9717,235460.2001
243,S,MN091_2018-03-16,1106.027595153706,510.1622243171742,MN091,2018-03-16,997066.4643,234232.0121
244,S,MN091_2018-03-16,597.4124218138621,335.73394062576796,MN091,2018-03-16,993870.3943,233178.4335
245,S,MN091_2018-03-16,616.2399669798777,373.29395344315077,MN091,2018-03-16,993988.3651,233412.6765
246,S,MN091_2018-03-16,644.1580810546875,137.81231689453125,MN091,2018-03-16,994166.4727,231932.2281
247,S,MN091_2018-03-16,724.7378997802734,265.6497802734375,MN091,2018-03-16,994671.7319,232728.1461
248,S,MN091_2018-03-16,749.9204631956981,270.4361043220571,MN091,2018-03-16,994830.0179,232756.1425
249,S,MN091_2018-03-16,762.9794536742137,291.8799519783071,MN091,2018-03-16,994911.8939,232889.6891
250,R,MN091_2018-03-16,767.2770240362888,342.4937825091955,MN091,2018-03-16,994938.3629,233207.0567
251,S,MN091_2018-03-16,744.9619671019481,662.9288563972524,MN091,2018-03-16,994794.5573,235220.3243
252,S,MN091_2018-03-16,771.040076843159,648.3550229316762,MN091,2018-03-16,994958.6845,235126.7205
253,S,MN091_2018-03-16,789.833289733784,56.03369953690082,MN091,2018-03-16,995083.3143,231407.0383
254,H,MN091_2018-03-16,851.6103515625,314.08653259277344,MN091,2018-03-16,995468.9283,233021.8795
255,S,MN091_2018-03-16,854.0789794921875,458.5883331298828,MN091,2018-03-16,995482.8727,233928.7539
256,S,MN091_2018-03-16,886.7065197142527,517.2874989753773,MN091,2018-03-16,995687.3803,234294.5709
